allele	threshold	threshold_min	threshold_max	mean_f1
IGHV2-4QUM*11/IGHV2-4QUM*12	0.0001	0.0001	0.0004	0.871776674398459
IGHV2-5VX5*11	0.0001	0.0001	0.002	0.871776674398459
IGHV2-5VX5*12/IGHV2-5VX5*13	0.0002	0.0002	0.002	0.871839520049539
IGHV2-DCLT*06	0.0001	0.0001	0.0008	0.871776674398459
IGHV2-DPJA*12	0.0005	0.0005	0.009	0.871917690241682
IGHV3-37F2*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-4PJH*02	0.0001	0.0001	0.0008	0.871776674398459
IGHV3-4PJH*10	0.0006	0.0006	0.004	0.873106745426396
IGHV3-4PJH*13	0.0002	0.0002	0.0009	0.872070393052519
IGHV3-4PJH*28	0.0003	0.0003	0.02	0.871857212142782
IGHV3-4PJH*29	0.0001	0.0001	0.002	0.871776674398459
IGHV3-4RPY*01	0.0001	0.0001	0.002	0.871776674398459
IGHV3-7HCW*03	0.0002	0.0002	0.008	0.871851556987443
IGHV3-A7N6*03	0.0001	0.0001	0.001	0.871776674398459
IGHV3-B5E7*03	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-B5E7*07	0.0001	0.0001	0.0009	0.871776674398459
IGHV3-BKKC*06	0.0001	0.0001	0.0004	0.871776674398459
IGHV3-BKKC*12	0.0001	0.0001	0.0005	0.871776674398459
IGHV3-C4HU*06	0.0002	0.0002	0.009	0.871929089936948
IGHV3-DCTO*03	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-DCTO*07	0.0001	0.0001	0.0007	0.871776674398459
IGHV3-DY3H*03	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-GYPG*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-GYPG*19	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-HFYN*04	0.0005	0.0005	0.004	0.871917690241682
IGHV3-HFYN*11	0.0001	0.0001	0.002	0.871776674398459
IGHV3-I3JG*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-L7BK*08	0.0002	0.0002	0.006	0.87184604397896
IGHV3-MGEX*03	0.0001	0.0001	0.002	0.871776674398459
IGHV3-MGEX*07	0.005	0.005	0.02	0.873938196520896
IGHV3-MGEX*08	0.0002	0.0002	0.005	0.871844580348718
IGHV3-PHO7*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-RRYX*07	0.0004	0.0004	0.008	0.871907425999799
IGHV3-RSQ5*03	0.0005	0.0005	0.005	0.871839520049539
IGHV3-X5LH*05	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-XVTV*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-XVTV*03	0.0002	0.0002	0.0002	0.871839520049539
IGHV4-4M7V*04/IGHV4-4M7V*13	0.0002	0.0002	0.01	0.87192737505634
IGHV4-4V2C*02/IGHV4-4V2C*03	0.0002	0.0002	0.006	0.871892479109605
IGHV4-5ARF*03	0.0001	0.0001	0.009	0.871776674398459
IGHV4-5ARF*17	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-5WKJ*08	0.007	0.007	0.02	0.874308935909917
IGHV4-5WKJ*09	0.002	0.002	0.004	0.872294624912662
IGHV4-5WKJ*12/IGHV4-5WKJ*13	0.003	0.003	0.003	0.872443114210763
IGHV4-64DR*06	0.0001	0.0001	0.0007	0.871776674398459
IGHV4-7PM2*13	0.0002	0.0002	0.004	0.87189311944391
IGHV4-7UKP*06/IGHV4-7UKP*07	0.0001	0.0001	0.001	0.871776674398459
IGHV4-AATP*03	0.0001	0.0001	0.01	0.871776674398459
IGHV4-AATP*04	0.003	0.003	0.02	0.873459029442116
IGHV4-AATP*05/IGHV4-AATP*08	0.0001	0.0001	0.006	0.871776674398459
IGHV4-EAIX*11	0.0009	0.0009	0.004	0.872343169463108
IGHV4-EAIX*13	0.002	0.002	0.01	0.872886413171454
IGHV4-HDAZ*03/IGHV4-HDAZ*14	0.0001	0.0001	0.007	0.871776674398459
IGHV4-JA6D*10/IGHV4-JA6D*20	0.0002	0.0002	0.001	0.871851556987443
IGHV4-JA6D*19	0.006	0.006	0.02	0.875185005414215
IGHV4-JZNW*05	0.0007	0.0007	0.006	0.872003728351164
IGHV4-JZNW*11	0.0002	0.0002	0.008	0.871839520049539
IGHV4-MLR2*05	0.0001	0.0001	0.009	0.871776674398459
IGHV4-MLR2*11/IGHV4-MLR2*12	0.0002	0.0002	0.0007	0.871839520049539
IGHV4-VX5Q*18/IGHV4-VX5Q*22/IGHV4-VX5Q*24	0.0002	0.0002	0.004	0.871920398417615
IGHV4-VX5Q*19/IGHV4-VX5Q*23	0.0002	0.0002	0.003	0.871851556987443
IGHV4-XTDW*03	0.0002	0.0002	0.009	0.871839520049539
IGHV4-Y4BX*05	0.0004	0.0004	0.01	0.871851556987443
IGHV4-YE26*05	0.0001	0.0001	0.001	0.871776674398459
IGHV4-YE26*10	0.0004	0.0004	0.01	0.871854844590601
IGHV4-YE26*11	0.008	0.008	0.008	0.871912659387584
IGHV4-YE26*17	0.0003	0.0003	0.02	0.871857212142782
IGHV4-YE26*18/IGHV4-YE26*20	0.0001	0.0001	0.001	0.871776674398459
IGHV5-2GFF*14	0.0001	0.0001	0.004	0.871776674398459
IGHV5-D2NK*06	0.0002	0.0002	0.01	0.871920926567944
IGHV6-UXXO*02	0.0003	0.0003	0.0007	0.872141394285005
IGHV6-UXXO*04	0.0001	0.0001	0.0005	0.871776674398459
IGHV7-75KG*01	0.0002	0.0002	0.0002	0.871892479109605
IGHV7-75KG*04	0.0001	0.0001	0.0009	0.871776674398459
IGHV7-S2SK*09	0.0001	0.0001	0.0005	0.871776674398459
IGHV7-S2SK*15	0.0004	0.0004	0.0006	0.871839520049539
IGHV8-4WHC*02	0.0007	0.0007	0.02	0.872813500800453
IGHV8-4WHC*03	0.0001	0.0001	0.0008	0.871776674398459
IGHV8-4WHC*18	0.0004	0.0004	0.006	0.871839520049539
IGHV8-65SO*04	0.0001	0.0001	0.001	0.871776674398459
IGHV8-65SO*11	0.0001	0.0001	0.001	0.871776674398459
IGHV8-6TUE*08	0.0001	0.0001	0.002	0.871776674398459
IGHV8-6TUE*14	0.0003	0.0003	0.009	0.871857212142782
IGHV8-AHTF*07	0.0001	0.0001	0.0003	0.871776674398459
IGHV8-DH64*01	0.0004	0.0004	0.002	0.871839520049539
IGHV8-GESA*04	0.0009	0.0009	0.02	0.874090404090968
IGHV8-GESA*05	0.0001	0.0001	0.0009	0.871776674398459
IGHV8-MBLR*10	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-MBLR*11	0.0001	0.0001	0.0004	0.871776674398459
IGHV8-RZNS*12	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-WAVT*03	0.0001	0.0001	0.004	0.871776674398459
IGHV1-BEKE*05	0.0003	0.0003	0.01	0.871914402638524
IGHV1-BSGF*12	0.0001	0.0001	0.003	0.871776674398459
IGHV1-BSGF*14	0.0004	0.0004	0.007	0.871839520049539
IGHV1-BSGF*18	0.0004	0.0004	0.008	0.871839520049539
IGHV1-FO6G*02	0.0001	0.0001	0.001	0.871776674398459
IGHV2-D2TO*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV2-V7ET*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV2-V7ET*05/IGHV2-V7ET*06	0.0001	0.0001	0.002	0.871776674398459
IGHV3-4GAP*10	0.0001	0.0001	0.001	0.871776674398459
IGHV3-4PJH*20	0.0001	0.0001	0.001	0.871776674398459
IGHV3-4PJH*22	0.0001	0.0001	0.001	0.871776674398459
IGHV3-4RPY*03	0.0002	0.0002	0.005	0.87184723113521
IGHV3-A7N6*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-BKKC*03	0.0002	0.0002	0.001	0.871839520049539
IGHV3-JRTS*06	0.0001	0.0001	0.0003	0.871776674398459
IGHV3-JU2I*01	0.0002	0.0002	0.0007	0.871854207347964
IGHV3-L7BK*02	0.0001	0.0001	0.0008	0.871776674398459
IGHV3-L7BK*06	0.0004	0.0004	0.007	0.871990220707421
IGHV3-MCXM*06	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-NL4W*03	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-O76Z*04	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-RSQ5*04	0.0005	0.0005	0.02	0.872784020528722
IGHV3-X5LH*04	0.0001	0.0001	0.003	0.871776674398459
IGHV3-X5LH*10	0.0001	0.0001	0.0003	0.871776674398459
IGHV4-4NGE*02	0.0002	0.0002	0.008	0.871839520049539
IGHV4-7PM2*08	0.0001	0.0001	0.001	0.871776674398459
IGHV4-HDAZ*07	0.0002	0.0002	0.01	0.871851556987443
IGHV4-JJNU*04	0.0002	0.0002	0.005	0.871839520049539
IGHV4-JZNW*10	0.0001	0.0001	0.008	0.871776674398459
IGHV4-MYX4*07	0.0002	0.0002	0.01	0.871924942712817
IGHV4-N2SB*01	0.0001	0.0001	0.01	0.871776674398459
IGHV4-U2RC*04	0.0001	0.0001	0.001	0.871776674398459
IGHV4-Y4FC*02	0.0001	0.0001	0.005	0.871776674398459
IGHV4-Y4FC*10	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-Y4FC*11	0.0002	0.0002	0.002	0.871854207347964
IGHV5-2GFF*02	0.0002	0.0002	0.006	0.871852492467356
IGHV5-2GFF*04	0.0001	0.0001	0.01	0.871776674398459
IGHV5-D2NK*04	0.0001	0.0001	0.01	0.871776674398459
IGHV5-D2NK*05	0.0004	0.0004	0.009	0.872109313021726
IGHV7-75KG*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV7-S2SK*16	0.0004	0.0004	0.02	0.872301214889185
IGHV8-4SV6*04	0.0002	0.0002	0.004	0.871839520049539
IGHV8-4SV6*09	0.0001	0.0001	0.001	0.871776674398459
IGHV8-65SO*18	0.0001	0.0001	0.0006	0.871776674398459
IGHV8-6TUE*01	0.0004	0.0004	0.007	0.871842915113669
IGHV8-6TUE*12	0.0001	0.0001	0.008	0.871776674398459
IGHV8-AHTF*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-PWAC*02	0.0001	0.0001	0.0003	0.871776674398459
IGHV8-RZNS*11	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-37F2*05	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-7HCW*02	0.0005	0.0005	0.02	0.872446745552136
IGHV3-BKKC*13	0.0001	0.0001	0.0003	0.871776674398459
IGHV3-E6ZX*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-GYPG*12	0.0001	0.0001	0.003	0.871776674398459
IGHV3-NL4W*04	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-X5LH*07	0.0001	0.0001	0.001	0.871776674398459
IGHV4-5WKJ*04	0.0001	0.0001	0.002	0.871776674398459
IGHV4-7PM2*04	0.0001	0.0001	0.01	0.871776674398459
IGHV4-HDAZ*06	0.0001	0.0001	0.02	0.871776674398459
IGHV4-MYX4*09	0.0002	0.0002	0.01	0.87189311944391
IGHV4-U2RC*07	0.0001	0.0001	0.0003	0.871776674398459
IGHV4-YE26*14/IGHV4-YE26*19	0.0001	0.0001	0.004	0.871776674398459
IGHV5-D2NK*15	0.0002	0.0002	0.01	0.871852492467356
IGHV7-75KG*05	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-65SO*13	0.0001	0.0001	0.0008	0.871776674398459
IGHV8-GESA*15	0.0001	0.0001	0.001	0.871776674398459
IGHV8-MBLR*08	0.0001	0.0001	0.0003	0.871776674398459
IGHV1-57IM*01	0.0001	0.0001	0.01	0.871776674398459
IGHV1-BSGF*07	0.0001	0.0001	0.01	0.871776674398459
IGHV1-BSGF*15	0.0002	0.0002	0.008	0.87189311944391
IGHV1-ISRF*04	0.0003	0.0003	0.006	0.871839307189424
IGHV1-ISRF*13	0.0001	0.0001	0.01	0.871776674398459
IGHV1-Y7SR*05	0.0001	0.0001	0.005	0.871776674398459
IGHV2-4QUM*04/IGHV2-4QUM*08	0.0001	0.0001	0.0002	0.871776674398459
IGHV2-5VX5*01	0.0001	0.0001	0.001	0.871776674398459
IGHV2-5VX5*02	0.0001	0.0001	0.005	0.871776674398459
IGHV2-5VX5*04	0.0001	0.0001	0.004	0.871776674398459
IGHV2-DCLT*08	0.0002	0.0002	0.005	0.872021301384219
IGHV3-37F2*01	0.0001	0.0001	0.0004	0.871776674398459
IGHV3-4PJH*07	0.0001	0.0001	0.004	0.871776674398459
IGHV3-4PJH*08	0.0004	0.0004	0.02	0.871915011510828
IGHV3-B5E7*04	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-B5E7*05	0.0001	0.0001	0.0002	0.871776674398459
IGHV3-B5E7*06	0.0001	0.0001	0.001	0.871776674398459
IGHV3-BZMP*02	0.0001	0.0001	0.005	0.871776674398459
IGHV3-BZMP*07	0.0001	0.0001	0.01	0.871776674398459
IGHV3-E6ZX*10	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-GYPG*11	0.0001	0.0001	0.008	0.871776674398459
IGHV3-HFYN*15	0.0001	0.0001	0.004	0.871776674398459
IGHV3-MCXM*07	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-MEBQ*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-O76Z*03	0.0005	0.0005	0.001	0.872279533556807
IGHV3-PRG6*03	0.0001	0.0001	0.01	0.871776674398459
IGHV3-PTFK*01	0.0001	0.0001	0.003	0.871776674398459
IGHV3-R7MJ*01/IGHV3-R7MJ*06	0.0001	0.0001	0.001	0.871776674398459
IGHV3-RRYX*09	0.0001	0.0001	0.002	0.871776674398459
IGHV3-RSQ5*08	0.0008	0.0008	0.004	0.871980323032648
IGHV3-X5LH*03	0.0001	0.0001	0.0008	0.871776674398459
IGHV3-X5LH*18	0.0001	0.0001	0.003	0.871776674398459
IGHV3-XVTV*05	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-4M7V*11	0.0001	0.0001	0.005	0.871776674398459
IGHV4-4M7V*14	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-4NGE*08	0.0004	0.0004	0.01	0.871854844590601
IGHV4-5ARF*05	0.0002	0.0002	0.0007	0.871839520049539
IGHV4-5ARF*12	0.0001	0.0001	0.006	0.871776674398459
IGHV4-5ARF*14	0.0001	0.0001	0.001	0.871776674398459
IGHV4-64DR*09	0.0001	0.0001	0.0005	0.871776674398459
IGHV4-7PM2*10	0.0002	0.0002	0.002	0.871844580348718
IGHV4-7PM2*12	0.0001	0.0001	0.007	0.871776674398459
IGHV4-7UKP*01	0.0003	0.0003	0.0009	0.871967587679042
IGHV4-AATP*01	0.0001	0.0001	0.01	0.871776674398459
IGHV4-AMYK*01	0.0001	0.0001	0.009	0.871776674398459
IGHV4-CCOK*06	0.0001	0.0001	0.004	0.871776674398459
IGHV4-EAIX*03	0.0001	0.0001	0.005	0.871776674398459
IGHV4-EAIX*07	0.0002	0.0002	0.003	0.871839520049539
IGHV4-EITI*15	0.0001	0.0001	0.01	0.871776674398459
IGHV4-FAZN*03	0.0002	0.0002	0.01	0.871836841318686
IGHV4-FAZN*04	0.0001	0.0001	0.01	0.871776674398459
IGHV4-JA6D*01	0.0004	0.0004	0.002	0.871854844590601
IGHV4-JA6D*13	0.0001	0.0001	0.004	0.871776674398459
IGHV4-JJNU*01	0.0001	0.0001	0.01	0.871776674398459
IGHV4-MYX4*05	0.0002	0.0002	0.01	0.871839520049539
IGHV4-MYX4*06	0.0001	0.0001	0.008	0.871776674398459
IGHV4-NZ7A*07	0.0001	0.0001	0.0007	0.871776674398459
IGHV4-NZ7A*11	0.0001	0.0001	0.001	0.871776674398459
IGHV4-U675*02	0.0001	0.0001	0.002	0.871776674398459
IGHV4-VX5Q*09	0.002	0.002	0.02	0.871917690241682
IGHV4-XTDW*09	0.0001	0.0001	0.01	0.871776674398459
IGHV4-XTDW*12	0.0001	0.0001	0.006	0.871776674398459
IGHV4-XTDW*14	0.0004	0.0004	0.004	0.871854844590601
IGHV4-Y4FC*09/IGHV4-Y4FC*12	0.0002	0.0002	0.01	0.871844580348718
IGHV4-ZNL3*03	0.0001	0.0001	0.007	0.871776674398459
IGHV5-2GFF*01	0.0001	0.0001	0.009	0.871776674398459
IGHV5-2GFF*06	0.0002	0.0002	0.001	0.871839520049539
IGHV5-D2NK*09	0.0004	0.0004	0.01	0.871937046530388
IGHV5-D2NK*12	0.0004	0.0004	0.009	0.871915338118437
IGHV7-S2SK*02	0.0001	0.0001	0.003	0.871776674398459
IGHV7-S2SK*06	0.0001	0.0001	0.0003	0.871776674398459
IGHV8-4WHC*16	0.0001	0.0001	0.007	0.871776674398459
IGHV8-65SO*06	0.0001	0.0001	0.001	0.871776674398459
IGHV8-65SO*07	0.0004	0.0004	0.02	0.871905324594349
IGHV8-PWAC*05	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-QBAS*01	0.0001	0.0001	0.001	0.871776674398459
IGHV8-RZNS*13	0.0001	0.0001	0.001	0.871776674398459
IGHV8-RZNS*17	0.0001	0.0001	0.0002	0.871776674398459
IGHV8-WAVT*07	0.0002	0.0002	0.001	0.871839520049539
IGHV1-BSGF*02	0.0001	0.0001	0.008	0.871776674398459
IGHV1-JIGE*02	0.0001	0.0001	0.0002	0.871776674398459
IGHV1-VCNV*05	0.0001	0.0001	0.003	0.871776674398459
IGHV1-Y7SR*01	0.0001	0.0001	0.004	0.871776674398459
IGHV2-5VX5*06	0.0002	0.0002	0.006	0.871839520049539
IGHV2-DCLT*15	0.0001	0.0001	0.0001	0.871776674398459
IGHV2-X7EJ*01	0.0001	0.0001	0.0007	0.871776674398459
IGHV3-4RPY*05	0.0001	0.0001	0.005	0.871776674398459
IGHV3-756H*06	0.0002	0.0002	0.01	0.871839520049539
IGHV3-A7N6*08	0.0005	0.0005	0.02	0.872506249348633
IGHV3-BZMP*04	0.003	0.003	0.02	0.872461576055562
IGHV3-BZMP*06	0.0002	0.0002	0.003	0.871982308588783
IGHV3-HFYN*01	0.0002	0.0002	0.008	0.871920398417615
IGHV3-NL4W*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-O76Z*05	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-2QEK*04	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-4MLZ*14	0.0002	0.0002	0.009	0.871856156609503
IGHV4-7PM2*05	0.0001	0.0001	0.01	0.871776674398459
IGHV4-AMYK*07	0.0001	0.0001	0.02	0.871776674398459
IGHV4-DXH5*02	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-FAZN*13	0.0002	0.0002	0.02	0.871854207347964
IGHV4-FAZN*14	0.0002	0.0002	0.008	0.871844580348718
IGHV4-JA6D*07	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-JA6D*22	0.0002	0.0002	0.01	0.871844580348718
IGHV4-MLR2*10	0.0002	0.0002	0.0005	0.871854207347964
IGHV4-NFRM*04/IGHV4-NFRM*11	0.0002	0.0002	0.002	0.871844580348718
IGHV4-PY3X*02	0.0001	0.0001	0.006	0.871776674398459
IGHV4-U2RC*02	0.0002	0.0002	0.001	0.871839520049539
IGHV4-YE26*03	0.0004	0.0004	0.02	0.87192275054086
IGHV4-YE26*23	0.0001	0.0001	0.007	0.871776674398459
IGHV5-D2NK*10	0.0002	0.0002	0.02	0.871854207347964
IGHV8-AHTF*09	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-MBLR*04	0.0006	0.0006	0.007	0.871844580348718
IGHV3-BKKC*10	0.0001	0.0001	0.002	0.871776674398459
IGHV3-JRTS*02	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-MCXM*03	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-RRYX*03	0.0004	0.0004	0.007	0.871998530560074
IGHV4-AMYK*05	0.0004	0.0004	0.02	0.871844580348718
IGHV4-DJPP*09	0.0002	0.0002	0.009	0.871844580348718
IGHV4-XTDW*02	0.0003	0.0003	0.02	0.871907213139683
IGHV4-YE26*15	0.0002	0.0002	0.01	0.8719125953688
IGHV8-6TUE*07	0.0002	0.0002	0.004	0.871844580348718
IGHV8-GESA*09	0.0001	0.0001	0.005	0.871776674398459
IGHV8-RZNS*15	0.0001	0.0001	0.0001	0.871776674398459
IGHV3-DY3H*01	0.0001	0.0001	0.0001	0.871776674398459
IGHV4-U2RC*05	0.0002	0.0002	0.002	0.87189311944391
IGHV8-4WHC*14	0.0002	0.0002	0.02	0.87189311944391
IGHV8-DH64*04	0.0002	0.0002	0.02	0.872170723252935
IGHV1-JIGE*03	0.0001	0.0001	0.0001	0.871776674398459
IGHV2-DCLT*04	0.0004	0.0004	0.005	0.871839520049539
IGHV3-C4HU*03	0.0001	0.0001	0.01	0.871776674398459
IGHV3-JRTS*07	0.0001	0.0001	0.0004	0.871776674398459
IGHV3-MCXM*01	0.0001	0.0001	0.0003	0.871776674398459
IGHV3-MEBQ*04	0.0004	0.0004	0.006	0.871930662659499
IGHV3-PTFK*04	0.0001	0.0001	0.003	0.871776674398459
IGHV3-R7MJ*03	0.0001	0.0001	0.003	0.871776674398459
IGHV4-2QEK*01	0.0001	0.0001	0.001	0.871776674398459
IGHV4-4MLZ*15	0.0001	0.0001	0.008	0.871776674398459
IGHV4-DJPP*06	0.0001	0.0001	0.01	0.871776674398459
IGHV4-DXH5*03	0.0002	0.0002	0.0003	0.871850212648955
IGHV4-FAZN*12	0.0001	0.0001	0.01	0.871776674398459
IGHV4-HDAZ*10/IGHV4-HDAZ*11	0.0004	0.0004	0.01	0.871854844590601
IGHV4-NFRM*03	0.0001	0.0001	0.006	0.871776674398459
IGHV4-PY3X*01	0.0001	0.0001	0.0002	0.871776674398459
IGHV4-U675*01	0.0001	0.0001	0.004	0.871776674398459
IGHV4-VX5Q*08	0.0007	0.0007	0.02	0.872497028813322
IGHV4-YE26*02	0.0008	0.0008	0.01	0.871850212648955
IGHV4-YE26*21	0.002	0.002	0.02	0.871854844590601
IGHV7-S2SK*05	0.0004	0.0004	0.02	0.871854844590601
IGHV8-65SO*17	0.0001	0.0001	0.002	0.871776674398459
IGHV8-6TUE*04	0.0001	0.0001	0.003	0.871776674398459
IGHV8-DH64*09	0.0001	0.0001	0.0001	0.871776674398459
IGHV8-GESA*06	0.0002	0.0002	0.003	0.871839520049539
IGHV8-MBLR*02	0.0004	0.0004	0.0004	0.871854844590601
IGHV8-RZNS*04	0.0001	0.0001	0.0003	0.871776674398459
